Log concernant les analyses d'aho-corasick.
Éxécutable, Fichier texte, Fichier mots, Nb occurences, Temps d'éxécution
./bin/ac-matrice, gen/texte_a2, gen/mots_a2_l5, 2304335, 222ms
./bin/ac-liste, gen/texte_a2, gen/mots_a2_l5, 2304335, 272ms
./bin/ac-mixte, gen/texte_a2, gen/mots_a2_l5, 2304335, 298ms
./bin/ac-matrice, gen/texte_a2, gen/mots_a2_l15, 2292, 239ms
./bin/ac-liste, gen/texte_a2, gen/mots_a2_l15, 2292, 298ms
./bin/ac-mixte, gen/texte_a2, gen/mots_a2_l15, 2292, 280ms
./bin/ac-matrice, gen/texte_a2, gen/mots_a2_l30, 0, 250ms
./bin/ac-liste, gen/texte_a2, gen/mots_a2_l30, 0, 286ms
./bin/ac-mixte, gen/texte_a2, gen/mots_a2_l30, 0, 372ms
./bin/ac-matrice, gen/texte_a4, gen/mots_a4_l5, 87246, 214ms
./bin/ac-liste, gen/texte_a4, gen/mots_a4_l5, 87246, 661ms
./bin/ac-mixte, gen/texte_a4, gen/mots_a4_l5, 87246, 368ms
./bin/ac-matrice, gen/texte_a4, gen/mots_a4_l15, 0, 261ms
./bin/ac-liste, gen/texte_a4, gen/mots_a4_l15, 0, 382ms
./bin/ac-mixte, gen/texte_a4, gen/mots_a4_l15, 0, 407ms
./bin/ac-matrice, gen/texte_a4, gen/mots_a4_l30, 0, 202ms
./bin/ac-liste, gen/texte_a4, gen/mots_a4_l30, 0, 371ms
./bin/ac-mixte, gen/texte_a4, gen/mots_a4_l30, 0, 502ms
./bin/ac-matrice, gen/texte_a20, gen/mots_a20_l5, 7, 155ms
./bin/ac-liste, gen/texte_a20, gen/mots_a20_l5, 7, 713ms
./bin/ac-mixte, gen/texte_a20, gen/mots_a20_l5, 7, 341ms
./bin/ac-matrice, gen/texte_a20, gen/mots_a20_l15, 0, 151ms
./bin/ac-liste, gen/texte_a20, gen/mots_a20_l15, 0, 491ms
./bin/ac-mixte, gen/texte_a20, gen/mots_a20_l15, 0, 413ms
./bin/ac-matrice, gen/texte_a20, gen/mots_a20_l30, 0, 124ms
./bin/ac-liste, gen/texte_a20, gen/mots_a20_l30, 0, 495ms
./bin/ac-mixte, gen/texte_a20, gen/mots_a20_l30, 0, 307ms
./bin/ac-matrice, gen/texte_a70, gen/mots_a70_l5, 0, 141ms
./bin/ac-liste, gen/texte_a70, gen/mots_a70_l5, 0, 1029ms
./bin/ac-mixte, gen/texte_a70, gen/mots_a70_l5, 0, 443ms
./bin/ac-matrice, gen/texte_a70, gen/mots_a70_l15, 0, 260ms
./bin/ac-liste, gen/texte_a70, gen/mots_a70_l15, 0, 960ms
./bin/ac-mixte, gen/texte_a70, gen/mots_a70_l15, 0, 349ms
./bin/ac-matrice, gen/texte_a70, gen/mots_a70_l30, 0, 141ms
./bin/ac-liste, gen/texte_a70, gen/mots_a70_l30, 0, 589ms
./bin/ac-mixte, gen/texte_a70, gen/mots_a70_l30, 0, 262ms
